X,Y,OBJECTID,NAME,Precinct,GlobalID,MDJ,ShapeSTAre,ShapeSTLen
-77.903087320240374,41.048614871141673,24,SNOW SHOE EAST,76,{179E0BE9-69CB-48E2-95B4-E2F755AD92DF},49-3-03,1789924036.512786865234375,228237.557669410074595
-77.820891553096715,41.000328910783317,25,BOGGS WEST,39,{C424C2DD-C92C-4A69-B5F8-164F9C628C76},49-3-02,915881647.411590576171875,168420.489782970340457
-77.76290691162653,40.973919381415129,26,BOGGS EAST,38,{DE3D4C7F-22CB-4B28-B91D-BD89F559E64B},49-3-02,521082489.067626953125000,112512.822291536547709
-77.33960133044036,40.971580719576906,27,MILES EAST,62,{4425310F-E907-4CD8-9A63-DF77AAA90C1D},49-3-04,1442608974.635375976562500,235984.598369087208994
-77.515134679457518,40.934566001295941,28,MILES WEST,63,{7481A325-5B97-47BD-A5A9-EE9A807B854C},49-3-04,306024036.405151367187500,70210.028830683470005
-77.587431545544746,40.964683681300428,29,WALKER EAST,83,{62787A27-E401-43E5-B146-5737FB047B2E},49-3-02,723653595.179840087890625,122427.713206207263283
-77.665539634896177,40.916450156852775,30,WALKER WEST,84,{C6571373-20D1-4AB3-B299-62BC917C7193},49-3-02,345617337.509338378906250,88726.216117268137168
-77.744176969483945,40.877450490527323,31,SPRING SOUTHWEST,87,{961946B7-CFA2-418C-876C-DADB7DF38E4F},49-3-04,51228784.827911376953125,33927.731691979141033
-77.710255027797999,40.86900605575908,32,SPRING SOUTH,79,{AC64EF3A-2DEF-46B2-9C3D-AFE99B231FAC},49-3-04,256025380.358184814453125,70120.307500923663611
-77.794588655366852,40.916917871266875,33,SPRING WEST,80,{CB7A4DC5-7AD1-4DD5-B9C3-258534C4CCB7},49-3-02,43886283.425659179687500,32802.337132268832647
-77.730546571943918,40.917484381736934,34,SPRING EAST,86,{DD228A33-1EEB-49C7-9C7F-9655A0A94E37},49-3-02,289556019.937927246093750,90764.841781261580763
-77.759906303911137,40.895874835411647,35,SPRING NORTH,78,{81E5BECF-56A3-490C-B09E-77794F898AEF},49-3-02,119306606.423706054687500,52343.613494222961890
-77.782775085627733,40.912346102238914,36,BELLEFONTE WEST,5,{A42B036C-834D-4220-B81D-7F333C3C1973},49-3-02,14952567.049102783203125,19851.689794293706655
-77.760098214903309,40.919024881084468,37,BELLEFONTE NORTHEAST,2,{4161BE62-166D-4C86-8736-D00807DDE2C0},49-3-02,11460908.583282470703125,21161.529414113505482
-77.773432399309215,40.916689759036707,38,BELLEFONTE NORTH,1,{1C1B7FC3-36A3-4D7C-8590-B4A41A65AAF4},49-3-02,4281858.352996826171875,8497.722007948223109
-77.757913329848463,40.912758802157214,39,BELLEFONTE SOUTHEAST,4,{C4C49E3C-F1FC-40B8-8610-37858DBC487B},49-3-02,16499009.510070800781250,23211.326218850481382
-77.774706618018229,40.910136193780524,40,BELLEFONTE SOUTH,3,{5249701B-2A97-4ABF-891C-424694543B3B},49-3-02,4427861.521514892578125,11247.620943032596188
-77.688816504829362,40.841144458226864,41,POTTER NORTH,70,{34C559DC-1E8F-443F-9DB1-B1E05CD7DFE1},49-3-04,387053966.684997558593750,116475.782784780254588
-77.649682561652739,40.787851243629547,42,POTTER SOUTH,71,{74368B0A-A602-42B4-9ECE-82681157DD8E},49-3-04,1258161829.645446777343750,143424.735785461729392
-77.858887277780468,40.874415598777041,44,BENNER NORTH,36,{17C93BAB-9FD3-48FB-8AFB-5CD33FBD69C5},49-3-02,218719266.177246093750000,66974.931552034293418
-78.051775465328859,40.941196781198236,45,RUSH EAST,74,{BC5918D5-B472-47A9-88D7-B8113141863F},49-3-03,965560607.210754394531250,198139.817446039611241
-78.143017377812924,40.871165484298032,46,RUSH NORTH,72,{FD39803E-C911-4248-802F-E726E4615625},49-3-03,1796492969.269287109375000,250226.410173000476789
-78.287071173756516,40.778870213698006,47,RUSH SOUTH,73,{00E19523-FB7D-4E56-B4C0-6923971DBF1C},49-3-03,1074676564.013366699218750,145151.240144111798145
-78.245718451867333,40.842209331001037,48,RUSH WEST,75,{683845FF-2C98-4609-8843-F62A9CBB0212},49-3-03,294946993.451263427734375,83463.497613811312476
-78.212685122571244,40.889664465868428,49,PHILIPSBURG 1ST WARD,10,{85DD27CC-AF91-4B46-BCF5-A5BF4415BA9C},49-3-03,11221142.588958740234375,28162.837988242481515
-78.215564624874034,40.902486417631422,50,PHILIPSBURG 3RD WARD,12,{22560A93-D041-4EC3-9213-A7D0D81471B0},49-3-03,5681712.923400878906250,11278.653314538692939
-78.216973649872145,40.898329070240209,51,PHILIPSBURG 2ND WARD,11,{5ED09213-DCC0-4451-887E-C4D8CAD76105},49-3-03,7518201.487640380859375,20977.385229737163172
-77.760264535313752,40.797375551183301,52,HARRIS EAST,56,{BCBA01B6-8025-4F3E-A958-5A2D96351D1D},49-3-04,205074368.253082275390625,62641.065659461892210
-77.769413751176728,40.752386550771647,53,HARRIS WEST,57,{0DA1F0B7-62E0-4343-AB6B-313FEAAAD621},49-3-04,672445840.789215087890625,119052.688499350333586
-77.948931166945641,40.814758118354881,62,PATTON NORTH 2,65,{D5F2DC79-159D-4CAB-85DF-533BE2EF7007},49-2-01,334056036.819000005722046,83242.980442464162479
-77.897027009064871,40.844487940439137,63,PATTON NORTH 1,64,{C58B224F-1B43-4ACE-B113-2A60353FAAB1},49-2-01,274536419.824432373046875,74707.229691656801151
-77.900037910408301,40.813533983667419,64,PATTON SOUTH 2,67,{2E31187C-0682-4B4F-819D-05AF757238B1},49-2-01,35079312.168670654296875,31160.231734957480512
-77.90798310816362,40.804245617706265,65,PATTON SOUTH 1,66,{6D86F949-1B06-43CC-87C9-43576D5809B7},49-2-01,9487361.936065673828125,13419.211466514589119
-77.920218595713465,40.799722287538238,66,PATTON SOUTH 3,68,{C833C6E4-FEA7-4FF2-8E8B-20A293927D15},49-2-01,31162360.869354248046875,27190.310148197972012
-77.852097924272073,40.818063606284817,67,COLLEGE WEST,44,{45E94530-959F-44C8-B78C-84250C6768A0},49-2-01,129798234.364349365234375,54691.109001471020747
-77.79893113787756,40.830656754675303,68,COLLEGE NORTH,41,{34523FB6-020B-426D-A49C-3683827CBC4F},49-2-01,186400951.837999999523163,67167.233729823725298
-77.806195022537693,40.810406063009431,69,COLLEGE EAST,43,{79427393-1F47-4038-B18F-CE2C36409B49},49-3-04,71381867.196777343750000,45299.899893655645428
-77.814607633962297,40.789575587179556,70,COLLEGE SOUTH,42,{C1CF1E00-FF77-457E-867E-C088F0E9E549},49-3-04,129626696.248565673828125,85172.444608557605534
-77.87926146683543,40.796326886902996,71,STATE COLLEGE NORTH,16,{7B7129DC-A895-4879-8CDE-894684A33137},49-3-05,7811733.134735107421875,12567.123697717528557
-77.870558693753054,40.790572112060019,72,STATE COLLEGE NORTHWEST,18,{D0F4A064-3B05-4CD2-A526-5D30714BE2F4},49-3-05,9516666.437683105468750,13041.550063249147570
-77.871686962612458,40.802384490555873,73,STATE COLLEGE NORTHEAST,17,{D4B43F54-E2D6-4217-9C04-F441EFA3FCEA},49-3-05,7034887.595062255859375,12981.805935057422175
-77.867150627254674,40.795839748739759,74,STATE COLLEGE WEST CENTRAL 1,33,{FD050BE7-299B-4AF7-8018-E104C050FC67},49-3-05,4248523.535125732421875,8631.128482298368908
-77.859648913484477,40.790551988921052,75,STATE COLLEGE WEST CENTRAL 2,34,{F4547BAF-F782-42AB-BEFF-C87BDB043A70},49-1-01,3934594.664367675781250,8377.404647206605659
-77.861822205771261,40.804449098441829,76,STATE COLLEGE EAST 1,24,{9BA2F6B3-BC6B-4DD4-85B2-F8D855BA2C5C},49-3-05,3543181.068267822265625,7802.038460278619823
-77.862683842569353,40.798471662750963,77,STATE COLLEGE EAST CENTRAL 1,28,{5B74744F-6AB8-4C67-986A-657C65429466},49-3-05,6074888.618927001953125,10701.768034407768937
-77.857146675378189,40.802844765054637,78,STATE COLLEGE EAST 4,27,{385D0420-AA11-49DD-808A-EC4E9A9076BA},49-1-01,3188199.870025634765625,8292.596742154686581
-77.849426418216552,40.802466840518868,79,STATE COLLEGE EAST 2,25,{16814D2B-D811-427F-BA0B-E0582A252A37},49-1-01,6638479.164428710937500,14819.264456571438132
-77.851843861736114,40.798244568953102,80,STATE COLLEGE EAST 3,26,{53997976-19C7-49E5-AF58-629B0FF2AD53},49-1-01,3970989.080322265625000,8020.224311699244026
-77.857221602849066,40.794185830425434,81,STATE COLLEGE EAST CENTRAL 2,29,{CB36EC6A-347D-4476-B4EC-4ACBFEF89819},49-1-01,1347541.668334960937500,5201.326168688097823
-77.853951067469978,40.793172610611165,82,STATE COLLEGE EAST CENTRAL 3,30,{5333ADD2-70E7-473B-A717-65F44D50F149},49-1-01,2164104.511932373046875,6301.310042252702260
-77.847035740136576,40.79480924744508,83,STATE COLLEGE SOUTH CENTRAL 2,23,{C5FE88DB-D6D6-4A3B-883C-53B386FA0D50},49-1-01,6945065.563446044921875,13516.963133243774791
-77.83753188185743,40.791803730816113,84,STATE COLLEGE SOUTHEAST,21,{EB5A3259-4202-4E22-8660-147F4BFDC81D},49-1-01,19265645.514617919921875,31909.401521806001256
-77.866048642186527,40.784434755421962,85,STATE COLLEGE WEST 1,31,{077ADB32-A4FE-4B86-A6F2-396E69CB6C06},49-3-05,6675497.992614746093750,13852.344399870476991
-77.854980132035564,40.785982020059492,86,STATE COLLEGE SOUTH CENTRAL 1,22,{9227FC2D-E6C5-49F6-A661-68EBADE7A87F},49-1-01,4693623.142242431640625,9808.146493599839232
-77.864640138053829,40.778326326852891,87,STATE COLLEGE WEST 2,32,{47E41440-EF8F-4621-8F01-43D88390E8F1},49-3-05,8663564.483551025390625,13698.985716828767181
-77.84425957225622,40.782941372024354,88,STATE COLLEGE SOUTH 2,20,{C9F8CEE5-B005-48A5-9852-307602CC3E7F},49-1-01,11074881.878021240234375,18189.339051244187431
-77.858212867866243,40.775401714452478,89,STATE COLLEGE SOUTH 1,19,{58E75BC9-94C2-4A85-927C-E9A2E500ECCA},49-3-05,10258883.452423095703125,15987.787490334932954
-78.023411461845171,40.769957166325199,492,HALFMOON EAST CENTRAL,90,{B6FA6912-196A-4591-BCF9-59F26AC11B5E},49-2-01,115544849.120000004768372,47604.793732915422879
-77.986788728691209,40.727668230814864,1292,FERGUSON WEST,52,{FD3B88E4-E83B-4C0B-8F9D-7A6E565EC1C3},49-2-01,615364625.224731445312500,118740.143701049251831
-77.895852595180259,40.799597513123594,1293,FERGUSON NORTHEAST 1,49,{B48E4A2E-DDA8-4986-8F6E-9D224B5385D0},49-2-01,24021325.465606689453125,24188.679824405287945
-77.882407711384602,40.738175848953802,1294,FERGUSON EAST,51,{87419964-3676-4A28-AF7D-53B1FD2FE9A4},49-2-01,297715840.428802490234375,77693.845544889889425
-77.880790520056237,40.786026002854491,1295,FERGUSON NORTH 3,88,{BBFC2AFF-50B7-46C3-908F-BB8138129E05},49-2-01,27821539.075134277343750,30466.403100977477152
-77.925390693123845,40.758369819497496,1296,FERGUSON WEST CENTRAL,89,{2221AEAF-B3CD-4DCE-9692-3745F35D6D71},49-2-01,247813765.933898925781250,74047.258950851159170
-77.88293655240571,40.808213254897559,1297,FERGUSON NORTHEAST 2,50,{549A7FBE-9E86-484C-8B05-A42754159475},49-2-01,14857509.391754150390625,16498.581674393797584
-77.902002662256663,40.78907332068308,1298,FERGUSON NORTH 2,48,{528D79AE-7D54-4947-B04A-D41EF91E0509},49-2-01,21388138.700958251953125,26848.967731312513934
-77.881075737269498,40.772673762113662,1299,FERGUSON NORTH 1,47,{4A8CCB0B-FFF7-4B51-AC97-9FA7A9BEF555},49-2-01,38375208.618988037109375,28195.770841137407842
-77.913789105196784,40.77989989194019,1300,FERGUSON NORTH CENTRAL,91,{F1596AF6-5CD4-4465-95F0-6F0BD4C0FFBE},49-2-01,42715456.738677978515625,27399.318895948956197
-77.798665523148912,40.868055446058705,43,BENNER SOUTH,37,{7112D0E1-92C3-44B6-81E0-EFBD3DE7BC23},49-3-02,543450131.331298947334290,145412.096257905999664
