id,name,tot_pop,no_hc,with_hc,public_hc,private_hc,perc_no_hc,perc_hc
1047,"Dallas County, Alabama",42456,6188,36268,21429,19774,0.145750895,0.854249105
1049,"DeKalb County, Alabama",70405,12191,58214,26077,40757,0.173155316,0.826844684
1051,"Elmore County, Alabama",74653,7986,66667,21150,56148,0.106974937,0.893025063
1053,"Escambia County, Alabama",35669,7284,28385,14160,18607,0.204210939,0.795789061
1055,"Etowah County, Alabama",102957,14899,88058,39071,64143,0.144710899,0.855289101
1057,"Fayette County, Alabama",16817,2026,14791,7180,10508,0.120473331,0.879526669
1059,"Franklin County, Alabama",31374,5570,25804,12068,17826,0.177535539,0.822464461
1061,"Geneva County, Alabama",26486,4094,22392,10977,15125,0.154572227,0.845427773
1063,"Greene County, Alabama",8750,1323,7427,4705,3993,0.1512,0.8488
1065,"Hale County, Alabama",15100,1883,13217,6919,8288,0.124701987,0.875298013
1067,"Henry County, Alabama",17079,2170,14909,6856,10760,0.127056619,0.872943381
1069,"Houston County, Alabama",102052,14016,88036,36552,64424,0.137341747,0.862658253
1071,"Jackson County, Alabama",52527,8442,44085,20130,32288,0.160717345,0.839282655
1073,"Jefferson County, Alabama",651121,81336,569785,211570,431638,0.124916874,0.875083126
1075,"Lamar County, Alabama",14104,1768,12336,6251,8633,0.125354509,0.874645491
1077,"Lauderdale County, Alabama",92000,11045,80955,30324,63574,0.120054348,0.879945652
1079,"Lawrence County, Alabama",33558,4294,29264,11459,22196,0.127957566,0.872042434
1081,"Lee County, Alabama",145734,16528,129206,35814,107346,0.113412107,0.886587893
1083,"Limestone County, Alabama",83101,10768,72333,23359,58515,0.129577261,0.870422739
1085,"Lowndes County, Alabama",10803,1696,9107,4641,5934,0.156993428,0.843006572
1087,"Macon County, Alabama",20220,2796,17424,8727,11620,0.138278932,0.861721068
1089,"Madison County, Alabama",339159,41483,297676,89322,252912,0.122311364,0.877688636
1091,"Marengo County, Alabama",20269,2454,17815,8236,12720,0.121071587,0.878928413
1093,"Marion County, Alabama",29743,3563,26180,12076,19198,0.119792892,0.880207108
1095,"Marshall County, Alabama",93183,16495,76688,32582,55812,0.177017267,0.822982733
1097,"Mobile County, Alabama",406489,62329,344160,140377,250663,0.153335023,0.846664977
1099,"Monroe County, Alabama",22289,3776,18513,9320,12061,0.16941092,0.83058908
1101,"Montgomery County, Alabama",223149,30008,193141,79743,141714,0.134475171,0.865524829
1103,"Morgan County, Alabama",118074,18703,99371,38165,76936,0.158400664,0.841599336
1105,"Perry County, Alabama",10002,1639,8363,5065,4575,0.163867227,0.836132773
1107,"Pickens County, Alabama",19293,2631,16662,8497,11300,0.136370704,0.863629296
1109,"Pike County, Alabama",33005,3749,29256,10616,22357,0.11358885,0.88641115
1111,"Randolph County, Alabama",22441,3344,19097,8823,13499,0.149012967,0.850987033
1113,"Russell County, Alabama",55286,9497,45789,19589,32338,0.171779474,0.828220526
1115,"St. Clair County, Alabama",83336,9316,74020,26777,57809,0.111788423,0.888211577
1117,"Shelby County, Alabama",199602,19175,180427,42429,159655,0.096066172,0.903933828
1119,"Sumter County, Alabama",13307,2348,10959,6061,6586,0.176448486,0.823551514
1121,"Talladega County, Alabama",78950,10749,68201,33230,46593,0.136149462,0.863850538
1123,"Tallapoosa County, Alabama",40739,5394,35345,16767,25017,0.132403839,0.867596161
1125,"Tuscaloosa County, Alabama",197084,23427,173657,56816,139399,0.118868097,0.881131903
1127,"Walker County, Alabama",65423,9469,55954,26302,40094,0.144735032,0.855264968
1129,"Washington County, Alabama",17005,2904,14101,6264,10076,0.170773302,0.829226698
1131,"Wilcox County, Alabama",11086,2058,9028,5921,4240,0.185639545,0.814360455
1133,"Winston County, Alabama",23900,3446,20454,10207,13897,0.1441841,0.8558159
2013,"Aleutians East Borough, Alaska",3292,2004,1288,454,897,0.608748481,0.391251519
2016,"Aleutians West Census Area, Alaska",5436,1400,4036,654,3618,0.257542311,0.742457689
2020,"Anchorage Municipality, Alaska",286723,46753,239970,67573,197581,0.163059817,0.836940183
2050,"Bethel Census Area, Alaska",17330,4490,12840,7600,6483,0.259088286,0.740911714
2060,"Bristol Bay Borough, Alaska",988,223,765,187,643,0.225708502,0.774291498
2068,"Denali Borough, Alaska",1964,440,1524,253,1437,0.224032587,0.775967413
2070,"Dillingham Census Area, Alaska",4940,1471,3469,2004,1755,0.297773279,0.702226721
2090,"Fairbanks North Star Borough, Alaska",92897,13325,79572,19507,69195,0.143438432,0.856561568
2100,"Haines Borough, Alaska",2552,697,1855,635,1440,0.273119122,0.726880878
2105,"Hoonah-Angoon Census Area, Alaska",2123,607,1516,730,992,0.285916156,0.714083844
2110,"Juneau City and Borough, Alaska",31685,5123,26562,6423,23592,0.16168534,0.83831466
2122,"Kenai Peninsula Borough, Alaska",55484,11843,43641,15502,34014,0.213448922,0.786551078
2130,"Ketchikan Gateway Borough, Alaska",13331,2549,10782,3627,8651,0.191208461,0.808791539
2150,"Kodiak Island Borough, Alaska",13058,3495,9563,3081,7571,0.267652014,0.732347986
2164,"Lake and Peninsula Borough, Alaska",1490,571,919,511,475,0.383221477,0.616778523
2170,"Matanuska-Susitna Borough, Alaska",92250,17720,74530,25098,58026,0.192086721,0.807913279
2180,"Nome Census Area, Alaska",9591,2858,6733,3962,3319,0.297987697,0.702012303
2185,"North Slope Borough, Alaska",9572,2424,7148,2023,5750,0.253238613,0.746761387
2188,"Northwest Arctic Borough, Alaska",7649,2492,5157,2855,2660,0.325794221,0.674205779
2195,"Petersburg Borough, Alaska",3195,766,2429,765,1973,0.239749609,0.760250391
2198,"Prince of Wales-Hyder Census Area, Alaska",6350,2219,4131,2004,2483,0.349448819,0.650551181
2220,"Sitka City and Borough, Alaska",8732,1721,7011,2208,5745,0.197091159,0.802908841
2230,"Skagway Municipality, Alaska",996,237,759,132,725,0.237951807,0.762048193
2240,"Southeast Fairbanks Census Area, Alaska",6870,1607,5263,1990,3832,0.233915575,0.766084425
2261,"Valdez-Cordova Census Area, Alaska",9550,2220,7330,1771,6234,0.232460733,0.767539267
2270,"Wade Hampton Census Area, Alaska",7729,2256,5473,4366,1747,0.291887696,0.708112304
2275,"Wrangell City and Borough, Alaska",2363,503,1860,1004,1360,0.212865002,0.787134998
2282,"Yakutat City and Borough, Alaska",635,153,482,173,367,0.240944882,0.759055118
2290,"Yukon-Koyukuk Census Area, Alaska",5630,2109,3521,2049,1838,0.374600355,0.625399645
4001,"Apache County, Arizona",71294,17640,53654,36492,22022,0.247426151,0.752573849
4003,"Cochise County, Arizona",119182,14868,104314,50498,76099,0.124750382,0.875249618
4005,"Coconino County, Arizona",135141,26779,108362,40621,79486,0.198156,0.801844
4007,"Gila County, Arizona",52431,8880,43551,26326,27198,0.169365452,0.830634548
4009,"Graham County, Arizona",33350,5363,27987,13663,17988,0.160809595,0.839190405
4011,"Greenlee County, Arizona",8759,1269,7490,2462,6066,0.144879552,0.855120448
4012,"La Paz County, Arizona",20117,2849,17268,11994,10582,0.141621514,0.858378486
4013,"Maricopa County, Arizona",3918121,646167,3271954,1204681,2444443,0.164917571,0.835082429
4015,"Mohave County, Arizona",195940,33387,162553,99461,101259,0.170393998,0.829606002
4017,"Navajo County, Arizona",105330,19137,86193,55073,41624,0.181686129,0.818313871
4019,"Pima County, Arizona",974896,141211,833685,364938,592298,0.144847245,0.855152755
4021,"Pinal County, Arizona",366822,53302,313520,138907,224547,0.145307533,0.854692467
4023,"Santa Cruz County, Arizona",47024,9484,37540,20026,22195,0.201684246,0.798315754
4025,"Yavapai County, Arizona",212026,31238,180788,98346,126033,0.147330988,0.852669012
4027,"Yuma County, Arizona",193273,39064,154209,78537,99344,0.202118247,0.797881753
5001,"Arkansas County, Arkansas",18599,2442,16157,8199,10236,0.131297382,0.868702618
5003,"Ashley County, Arkansas",21245,3083,18162,9926,10483,0.145116498,0.854883502
5005,"Baxter County, Arkansas",40654,5181,35473,20326,24198,0.127441334,0.872558666
5007,"Benton County, Arkansas",231015,32529,198486,63644,157627,0.140809038,0.859190962
5009,"Boone County, Arkansas",36736,5539,31197,15308,21569,0.150778528,0.849221472
5011,"Bradley County, Arkansas",11177,2238,8939,5205,4906,0.200232621,0.799767379
5013,"Calhoun County, Arkansas",5215,765,4450,2130,2909,0.146692234,0.853307766
5015,"Carroll County, Arkansas",27403,4999,22404,11346,15082,0.182425282,0.817574718
5017,"Chicot County, Arkansas",10787,1836,8951,5925,4352,0.170204876,0.829795124
5019,"Clark County, Arkansas",22413,3166,19247,7973,14237,0.141257306,0.858742694
5021,"Clay County, Arkansas",15451,2763,12688,6917,8435,0.178823377,0.821176623
5023,"Cleburne County, Arkansas",25436,4590,20846,10879,14797,0.180452901,0.819547099
5025,"Cleveland County, Arkansas",8520,1193,7327,3440,4964,0.140023474,0.859976526
5027,"Columbia County, Arkansas",23996,3340,20656,9057,14687,0.139189865,0.860810135
5029,"Conway County, Arkansas",20968,3014,17954,8366,12302,0.143742846,0.856257154
5031,"Craighead County, Arkansas",98880,16604,82276,35461,57592,0.167920712,0.832079288
5033,"Crawford County, Arkansas",61312,10383,50929,22287,34961,0.169346947,0.830653053
5035,"Crittenden County, Arkansas",49586,7826,41760,20407,25459,0.157826806,0.842173194
5037,"Cross County, Arkansas",17399,2645,14754,7155,9376,0.152020231,0.847979769
5039,"Dallas County, Arkansas",7474,1307,6167,3266,4065,0.174872893,0.825127107
5041,"Desha County, Arkansas",12516,2274,10242,6009,5516,0.18168744,0.81831256
5043,"Drew County, Arkansas",18308,2980,15328,7304,9884,0.162770374,0.837229626
5045,"Faulkner County, Arkansas",116550,16115,100435,32255,79881,0.138266838,0.861733162
5047,"Franklin County, Arkansas",17649,2419,15230,7319,9952,0.13706159,0.86293841
5049,"Fulton County, Arkansas",12027,1888,10139,5853,6311,0.156980128,0.843019872
5051,"Garland County, Arkansas",95378,17064,78314,41533,53392,0.178909182,0.821090818
5053,"Grant County, Arkansas",17861,2192,15669,6190,11980,0.122725491,0.877274509
5055,"Greene County, Arkansas",42483,6344,36139,17388,24441,0.14933032,0.85066968
5057,"Hempstead County, Arkansas",22163,4025,18138,9533,11255,0.181608988,0.818391012
5059,"Hot Spring County, Arkansas",31516,5220,26296,12129,18700,0.165630156,0.834369844
5061,"Howard County, Arkansas",13505,2757,10748,5652,6776,0.204146612,0.795853388
5063,"Independence County, Arkansas",36359,5964,30395,14479,20446,0.164030914,0.835969086
5065,"Izard County, Arkansas",12768,2311,10457,6081,6697,0.180999373,0.819000627
5067,"Jackson County, Arkansas",14512,2583,11929,7091,6549,0.177990628,0.822009372
5069,"Jefferson County, Arkansas",70451,9103,61348,30468,39229,0.129210373,0.870789627
5071,"Johnson County, Arkansas",25596,3836,21760,10066,14714,0.149867167,0.850132833
5073,"Lafayette County, Arkansas",7254,1371,5883,3342,3556,0.188999173,0.811000827
5075,"Lawrence County, Arkansas",16850,3107,13743,7517,8659,0.184391691,0.815608309
5077,"Lee County, Arkansas",8753,1721,7032,4479,3417,0.196618302,0.803381698
5079,"Lincoln County, Arkansas",10394,1968,8426,4708,4904,0.189340004,0.810659996
5081,"Little River County, Arkansas",12683,2221,10462,4959,7472,0.175116297,0.824883703
5083,"Logan County, Arkansas",21851,3186,18665,9145,12585,0.145805684,0.854194316
5085,"Lonoke County, Arkansas",68420,8715,59705,21451,47212,0.127375037,0.872624963
5087,"Madison County, Arkansas",15625,2882,12743,5904,8569,0.184448,0.815552
5089,"Marion County, Arkansas",16383,2926,13457,8325,8728,0.178599768,0.821400232
5091,"Miller County, Arkansas",42372,7639,34733,16312,23391,0.18028415,0.81971585
5093,"Mississippi County, Arkansas",44555,7456,37099,20003,21580,0.167343732,0.832656268
5095,"Monroe County, Arkansas",7767,1220,6547,4220,3377,0.157074804,0.842925196
5097,"Montgomery County, Arkansas",9162,1862,7300,4241,4298,0.203230736,0.796769264
5099,"Nevada County, Arkansas",8705,1402,7303,4061,4366,0.161056864,0.838943136
5101,"Newton County, Arkansas",8074,1352,6722,3656,4309,0.167451078,0.832548922
5103,"Ouachita County, Arkansas",25009,3269,21740,11262,13997,0.130712943,0.869287057
5105,"Perry County, Arkansas",10220,1146,9074,4074,6386,0.112133072,0.887866928
5107,"Phillips County, Arkansas",20656,3571,17085,10352,8923,0.172879551,0.827120449
5109,"Pike County, Arkansas",11025,1939,9086,5062,5435,0.175873016,0.824126984
5111,"Poinsett County, Arkansas",24040,4357,19683,11890,10488,0.181239601,0.818760399
5113,"Polk County, Arkansas",20304,3984,16320,9962,9843,0.196217494,0.803782506
5115,"Pope County, Arkansas",62081,9078,53003,21560,38509,0.146228315,0.853771685
5117,"Prairie County, Arkansas",8324,1283,7041,3700,4329,0.154132629,0.845867371
5119,"Pulaski County, Arkansas",382766,56673,326093,125676,242709,0.14806174,0.85193826
5121,"Randolph County, Arkansas",17453,3077,14376,7573,9223,0.176302068,0.823697932
5123,"St. Francis County, Arkansas",23909,4205,19704,11114,10873,0.175875193,0.824124807
5125,"Saline County, Arkansas",110438,13228,97210,36386,76628,0.119777613,0.880222387
5127,"Scott County, Arkansas",10939,1852,9087,4763,6005,0.169302496,0.830697504
5129,"Searcy County, Arkansas",7944,1647,6297,4013,3600,0.207326284,0.792673716
5131,"Sebastian County, Arkansas",125568,22342,103226,46232,71567,0.177927497,0.822072503
5133,"Sevier County, Arkansas",17057,3859,13198,6897,8009,0.226241426,0.773758574
5135,"Sharp County, Arkansas",16926,3020,13906,8638,8105,0.178423727,0.821576273
5137,"Stone County, Arkansas",12420,1770,10650,6361,6348,0.142512077,0.857487923
5139,"Union County, Arkansas",40469,6398,34071,16469,23061,0.158096321,0.841903679
5141,"Van Buren County, Arkansas",16885,3433,13452,8453,7668,0.203316553,0.796683447
5143,"Washington County, Arkansas",210520,36969,173551,57736,132953,0.175608018,0.824391982
5145,"White County, Arkansas",77583,12124,65459,27508,47711,0.156271348,0.843728652
5147,"Woodruff County, Arkansas",6942,1457,5485,3526,2651,0.209881878,0.790118122
5149,"Yell County, Arkansas",21649,3709,17940,8674,11912,0.171324311,0.828675689
6001,"Alameda County, California",1546984,182223,1364761,413231,1084523,0.117792427,0.882207573
6003,"Alpine County, California",1202,267,935,443,628,0.222129784,0.777870216
6005,"Amador County, California",33018,3539,29479,14316,22654,0.10718396,0.89281604
6007,"Butte County, California",219426,32677,186749,88760,128382,0.148920365,0.851079635
6009,"Calaveras County, California",44481,4877,39604,17953,30441,0.109642319,0.890357681
6011,"Colusa County, California",21220,4351,16869,8616,10268,0.205042413,0.794957587
6013,"Contra Costa County, California",1075510,120043,955467,287258,788386,0.111614955,0.888385045
6015,"Del Norte County, California",24532,3189,21343,12229,12617,0.129993478,0.870006522
6017,"El Dorado County, California",180392,17702,162690,54234,134698,0.098130738,0.901869262
6019,"Fresno County, California",937522,173241,764281,386910,459151,0.184786064,0.815213936
6021,"Glenn County, California",27710,5403,22307,11026,14525,0.19498376,0.80501624
6023,"Humboldt County, California",133758,25205,108553,51058,74179,0.188437327,0.811562673
6025,"Imperial County, California",166812,32873,133939,68577,75517,0.197066158,0.802933842
6027,"Inyo County, California",18067,2454,15613,7203,11341,0.135827752,0.864172248
6029,"Kern County, California",827752,153226,674526,313730,426042,0.185110999,0.814889001
6031,"Kings County, California",131239,22682,108557,46306,72750,0.172829723,0.827170277
6033,"Lake County, California",63544,11930,51614,30466,30065,0.187743925,0.812256075
6035,"Lassen County, California",22792,2541,20251,8421,14852,0.111486486,0.888513514
6037,"Los Angeles County, California",9902803,2064765,7838038,3081399,5362287,0.208503087,0.791496913
6039,"Madera County, California",144316,27479,116837,65062,65954,0.190408548,0.809591452
6041,"Marin County, California",251066,20866,230200,69238,196830,0.083109621,0.916890379
6043,"Mariposa County, California",17790,1809,15981,7309,12043,0.101686341,0.898313659
6045,"Mendocino County, California",86704,14198,72506,40828,42337,0.163752537,0.836247463
6047,"Merced County, California",258627,45708,212919,108468,124933,0.176733288,0.823266712
6049,"Modoc County, California",9029,1528,7501,4397,4578,0.169232473,0.830767527
6051,"Mono County, California",14112,3212,10900,3635,8603,0.22760771,0.77239229
6053,"Monterey County, California",406561,85128,321433,133366,226408,0.209385553,0.790614447
6055,"Napa County, California",137294,19102,118192,38617,98149,0.139132082,0.860867918
6057,"Nevada County, California",97694,14156,83538,36011,65734,0.144901427,0.855098573
6059,"Orange County, California",3069156,492871,2576285,802775,1994162,0.160588448,0.839411552
6061,"Placer County, California",358855,34833,324022,94256,281866,0.097067061,0.902932939
6063,"Plumas County, California",19118,2898,16220,8294,11609,0.151584894,0.848415106
6065,"Riverside County, California",2243885,430893,1812992,735197,1262007,0.192029895,0.807970105
6067,"Sacramento County, California",1432474,196622,1235852,482787,901267,0.137260432,0.862739568
6069,"San Benito County, California",56701,8395,48306,16477,36586,0.148057353,0.851942647
6071,"San Bernardino County, California",2037816,388674,1649142,673836,1103156,0.190730665,0.809269335
6073,"San Diego County, California",3082932,488789,2594143,819220,2048930,0.158546799,0.841453201
6075,"San Francisco County, California",824515,82498,742017,224886,586763,0.100056397,0.899943603
6077,"San Joaquin County, California",692244,111486,580758,247844,395164,0.16105015,0.83894985
6079,"San Luis Obispo County, California",266763,36665,230098,77522,189855,0.137444098,0.862555902
6081,"San Mateo County, California",735543,74939,660604,179429,557602,0.101882555,0.898117445
6083,"Santa Barbara County, California",424565,73675,350890,129285,267309,0.173530555,0.826469445
6085,"Santa Clara County, California",1832455,192980,1639475,441150,1342936,0.105312272,0.894687728
6087,"Santa Cruz County, California",265837,36868,228969,74319,179644,0.138686488,0.861313512
6089,"Shasta County, California",177129,26728,150401,77477,98997,0.150895675,0.849104325
6091,"Sierra County, California",2990,572,2418,1148,1780,0.191304348,0.808695652
6093,"Siskiyou County, California",44035,6255,37780,21602,23700,0.1420461,0.8579539
6095,"Solano County, California",406271,49136,357135,122789,281969,0.120943902,0.879056098
6097,"Sonoma County, California",487334,64770,422564,148074,335353,0.132906795,0.867093205
6099,"Stanislaus County, California",519384,85537,433847,193503,285615,0.164689324,0.835310676
6101,"Sutter County, California",93791,16262,77529,37024,50549,0.173385506,0.826614494
6103,"Tehama County, California",62648,9342,53306,28832,33404,0.149118886,0.850881114
6105,"Trinity County, California",13304,2736,10568,6242,6144,0.205652435,0.794347565
6107,"Tulare County, California",446777,89475,357302,194915,194823,0.200267695,0.799732305
6109,"Tuolumne County, California",50986,6241,44745,22924,32166,0.122406151,0.877593849
6111,"Ventura County, California",828410,125793,702617,225520,556384,0.151848722,0.848151278
6113,"Yolo County, California",202609,24075,178534,52740,143547,0.118824929,0.881175071
6115,"Yuba County, California",70580,11417,59163,31344,35117,0.161759705,0.838240295
8001,"Adams County, Colorado",458003,89569,368434,127852,275864,0.195564221,0.804435779
8003,"Alamosa County, Colorado",15703,2036,13667,6387,8939,0.129656753,0.870343247
8005,"Arapahoe County, Colorado",591703,87054,504649,145733,413555,0.147124486,0.852875514
8007,"Archuleta County, Colorado",12033,2776,9257,4926,6294,0.230698911,0.769301089
8009,"Baca County, Colorado",3619,636,2983,1674,1894,0.175739154,0.824260846
8011,"Bent County, Colorado",3853,632,3221,1951,1798,0.16402803,0.83597197
8013,"Boulder County, Colorado",303004,31276,271728,60677,237105,0.103219759,0.896780241
8014,"Broomfield County, Colorado",58756,4709,54047,11039,48145,0.080145006,0.919854994
8015,"Chaffee County, Colorado",16997,2662,14335,6516,10832,0.156615873,0.843384127
8017,"Cheyenne County, Colorado",2106,463,1643,475,1320,0.219848053,0.780151947
8019,"Clear Creek County, Colorado",8982,814,8168,2488,6880,0.090625696,0.909374304
8021,"Conejos County, Colorado",8216,1446,6770,3680,3819,0.175998053,0.824001947
8023,"Costilla County, Colorado",3578,651,2927,1912,1565,0.181945221,0.818054779
8025,"Crowley County, Colorado",4038,570,3468,2038,1767,0.14115899,0.85884101
8027,"Custer County, Colorado",4247,772,3475,2252,2286,0.181775371,0.818224629
8029,"Delta County, Colorado",29377,5841,23536,12232,15861,0.198829016,0.801170984
8031,"Denver County, Colorado",627155,99744,527411,188573,386423,0.159042023,0.840957977
8033,"Dolores County, Colorado",1736,263,1473,773,1002,0.151497696,0.848502304
8035,"Douglas County, Colorado",298922,17601,281321,39205,264146,0.058881581,0.941118419
8037,"Eagle County, Colorado",52136,9574,42562,7512,38428,0.183635108,0.816364892
8039,"Elbert County, Colorado",23439,2772,20667,5088,18003,0.118264431,0.881735569
8041,"El Paso County, Colorado",615083,76132,538951,166330,443145,0.123775165,0.876224835
8043,"Fremont County, Colorado",35862,4325,31537,16074,21745,0.120601193,0.879398807
8045,"Garfield County, Colorado",55929,15520,40409,10755,33347,0.277494681,0.722505319
8047,"Gilpin County, Colorado",5506,744,4762,1347,3794,0.135125318,0.864874682
8049,"Grand County, Colorado",14417,2998,11419,3332,9106,0.207948949,0.792051051
8051,"Gunnison County, Colorado",15441,2643,12798,3053,10864,0.17116767,0.82883233
8053,"Hinsdale County, Colorado",871,133,738,399,574,0.152698048,0.847301952
8055,"Huerfano County, Colorado",6193,1106,5087,3005,3371,0.178588729,0.821411271
8057,"Jackson County, Colorado",1377,262,1115,517,789,0.1902687,0.8097313
8059,"Jefferson County, Colorado",539944,58614,481330,124144,414623,0.108555702,0.891444298
8061,"Kiowa County, Colorado",1380,219,1161,463,881,0.158695652,0.841304348
8063,"Kit Carson County, Colorado",7326,1296,6030,2502,4334,0.176904177,0.823095823
8065,"Lake County, Colorado",7251,1654,5597,1666,4390,0.228106468,0.771893532
8067,"La Plata County, Colorado",51990,8827,43163,12172,36594,0.169782651,0.830217349
8069,"Larimer County, Colorado",309027,34055,274972,74370,234019,0.110200727,0.889799273
8071,"Las Animas County, Colorado",14422,2476,11946,5716,8075,0.171682152,0.828317848
8073,"Lincoln County, Colorado",3812,311,3501,1579,2518,0.08158447,0.91841553
8075,"Logan County, Colorado",22002,3906,18096,7699,13093,0.177529316,0.822470684
8077,"Mesa County, Colorado",146218,22767,123451,49748,93305,0.155705864,0.844294136
8079,"Mineral County, Colorado",704,51,653,334,531,0.072443182,0.927556818
8081,"Moffat County, Colorado",13139,1961,11178,3982,8651,0.149250323,0.850749677
8083,"Montezuma County, Colorado",25322,5755,19567,9498,13226,0.227272727,0.772727273
8085,"Montrose County, Colorado",40455,8217,32238,15720,22614,0.203114572,0.796885428
8087,"Morgan County, Colorado",27793,4366,23427,9472,17324,0.157089915,0.842910085
8089,"Otero County, Colorado",18459,3250,15209,9092,8381,0.176065876,0.823934124
8091,"Ouray County, Colorado",4530,647,3883,1521,3176,0.142825607,0.857174393
8093,"Park County, Colorado",16022,2182,13840,3938,11860,0.136187742,0.863812258
8095,"Phillips County, Colorado",4317,708,3609,1492,2746,0.16400278,0.83599722
8097,"Pitkin County, Colorado",17243,2651,14592,2818,13027,0.153743548,0.846256452
8099,"Prowers County, Colorado",12170,2072,10098,4830,6409,0.170254725,0.829745275
8101,"Pueblo County, Colorado",156929,20296,136633,66806,92266,0.129332373,0.870667627
8103,"Rio Blanco County, Colorado",6657,937,5720,1639,4610,0.140754093,0.859245907
8105,"Rio Grande County, Colorado",11585,2119,9466,4613,6303,0.182908934,0.817091066
8107,"Routt County, Colorado",23301,3156,20145,3876,18046,0.135444831,0.864555169
8109,"Saguache County, Colorado",6176,1869,4307,2753,2118,0.302623057,0.697376943
8111,"San Juan County, Colorado",653,168,485,204,342,0.257274119,0.742725881
8113,"San Miguel County, Colorado",7568,1271,6297,1524,5379,0.167943975,0.832056025
8115,"Sedgwick County, Colorado",2332,295,2037,935,1478,0.126500858,0.873499142
8117,"Summit County, Colorado",28404,6427,21977,4700,19149,0.226270948,0.773729052
8119,"Teller County, Colorado",23048,2660,20388,7360,15914,0.115411316,0.884588684
8121,"Washington County, Colorado",4528,542,3986,1606,2999,0.119699647,0.880300353
8123,"Weld County, Colorado",262181,37501,224680,68369,179643,0.143034774,0.856965226
8125,"Yuma County, Colorado",9994,1621,8373,3223,6343,0.162197318,0.837802682
9001,"Fairfield County, Connecticut",925315,104632,820683,244425,670343,0.113077168,0.886922832
9003,"Hartford County, Connecticut",881785,67549,814236,288645,627316,0.076604841,0.923395159
9005,"Litchfield County, Connecticut",185975,13338,172637,54864,142509,0.071719317,0.928280683
9007,"Middlesex County, Connecticut",163539,10874,152665,42608,131302,0.066491785,0.933508215
9009,"New Haven County, Connecticut",852162,70929,781233,281133,595488,0.083234174,0.916765826
9011,"New London County, Connecticut",261989,17548,244441,83860,196141,0.066979911,0.933020089
9013,"Tolland County, Connecticut",148925,7748,141177,35390,122438,0.052026188,0.947973812
9015,"Windham County, Connecticut",116161,9192,106969,39631,80566,0.07913155,0.92086845
10001,"Kent County, Delaware",163875,13453,150422,60490,114693,0.082093059,0.917906941
10003,"New Castle County, Delaware",537421,46337,491084,159708,394658,0.086221045,0.913778955
10005,"Sussex County, Delaware",200972,21332,179640,90880,128749,0.106144139,0.893855861
11001,"District of Columbia, District of Columbia",623129,40009,583120,218353,433450,0.064206609,0.935793391
12001,"Alachua County, Florida",248941,36509,212432,63176,173810,0.14665724,0.85334276
12003,"Baker County, Florida",24676,3500,21176,8003,15657,0.141838223,0.858161777
12005,"Bay County, Florida",168275,30637,137638,57137,103917,0.182065072,0.817934928
12007,"Bradford County, Florida",23933,4391,19542,9419,13843,0.183470522,0.816529478
12009,"Brevard County, Florida",542886,86959,455927,201451,345151,0.160179117,0.839820883
12011,"Broward County, Florida",1803977,391631,1412346,511680,1039928,0.217093123,0.782906877
12013,"Calhoun County, Florida",12650,2565,10085,5598,6089,0.202766798,0.797233202
12015,"Charlotte County, Florida",160149,26280,133869,80285,97694,0.164097184,0.835902816
12017,"Citrus County, Florida",137911,20076,117835,72689,79848,0.145572144,0.854427856
12019,"Clay County, Florida",191560,25095,166465,55502,134643,0.131003341,0.868996659
12021,"Collier County, Florida",332654,70739,261915,133789,192793,0.212650381,0.787349619
